Comp_Name	Box_Name	Subtype_NO	BoardIn_NO	Scan_NO	CAD_X	CAD_Y	CAD_Width	CAD_Height	Board_Side	Solder_ThicknessN1_Layer1	Solder_Area_Layer1	Absolute_Height_Layer1	Solder_ThicknessN1_Layer2	Solder_Area_Layer2	Absolute_Height_Layer2	Solder_ThicknessN1_Layer3	Solder_Area_Layer3	Solder_PTH_Filling_PIP_Layer3	Absolute_Height_Layer3	Short_Left1_Layer4	Short_Top1_Layer4	Short_Right1_Layer4	Short_Bottom1_Layer4	Absolute_Height_Layer4	Location_X(pixel)	Location_Y(pixel)	Initial_H	Retry_H	Laser_Height	
C100_1	2	0	1	1	110.800	249.000	1.500	1.500	Bottom	18.7	0.5796	-0.384581	37.6	1.0407	-1.334581	39.7	0.5937	100.0000	-1.809581	0.0	0.0	0.0	0.0	-2.284580	8881	4466	-2.284580	-2.284580	-2.284580	
C100_1	2	0	1	2	110.800	249.000	1.500	1.500	Bottom	18.1	0.5811	-0.379684	37.5	1.0407	-1.329684	39.5	0.5937	100.0000	-1.804684	0.0	0.0	0.0	0.0	-2.279684	8880	4466	-2.279684	-2.279684	-2.279684	
C100_1	2	0	1	3	110.800	249.000	1.500	1.500	Bottom	18.3	0.5659	-0.381288	37.3	1.0407	-1.331288	39.6	0.5937	100.0000	-1.806288	0.0	0.0	0.0	0.0	-2.281288	8880	4466	-2.281288	-2.281288	-2.281288	
C100_1	2	0	1	4	110.800	249.000	1.500	1.500	Bottom	18.3	0.5804	-0.380598	37.5	1.0407	-1.330598	39.6	0.5937	100.0000	-1.805598	0.0	0.0	0.0	0.0	-2.280598	8880	4466	-2.280598	-2.280598	-2.280598	
C100_1	2	0	1	5	110.800	249.000	1.500	1.500	Bottom	18.3	0.5779	-0.381659	37.8	1.0407	-1.331659	39.5	0.5937	100.0000	-1.806659	0.0	0.0	0.0	0.0	-2.281659	8880	4466	-2.281659	-2.281659	-2.281659	
C100_1	2	0	1	6	110.800	249.000	1.500	1.500	Bottom	17.9	0.5812	-0.383493	37.4	1.0407	-1.333493	39.5	0.5937	100.0000	-1.808493	0.0	0.0	0.0	0.0	-2.283494	8881	4466	-2.283493	-2.283494	-2.283493	
C100_1	2	0	1	7	110.800	249.000	1.500	1.500	Bottom	18.0	0.5792	-0.384845	37.5	1.0408	-1.334845	39.4	0.5937	100.0000	-1.809845	0.0	0.0	0.0	0.0	-2.284845	8880	4466	-2.284845	-2.284845	-2.284845	
C100_1	2	0	1	8	110.800	249.000	1.500	1.500	Bottom	17.8	0.5599	-0.381981	37.5	1.0407	-1.331981	39.7	0.5937	100.0000	-1.806981	0.0	0.0	0.0	0.0	-2.281981	8880	4466	-2.281981	-2.281981	-2.281981	
C100_1	2	0	1	9	110.800	249.000	1.500	1.500	Bottom	18.0	0.5647	-0.382611	37.4	1.0407	-1.332611	39.5	0.5937	100.0000	-1.807611	0.0	0.0	0.0	0.0	-2.282611	8881	4466	-2.282611	-2.282611	-2.282611	
C100_1	2	0	1	10	110.800	249.000	1.500	1.500	Bottom	18.1	0.5812	-0.380469	37.7	1.0407	-1.330469	39.7	0.5937	100.0000	-1.805469	0.0	0.0	0.0	0.0	-2.280469	8880	4466	-2.280469	-2.280469	-2.280469	
C100_1	2	0	1	11	110.800	249.000	1.500	1.500	Bottom	17.9	0.5811	-0.379051	37.6	1.0407	-1.329051	39.8	0.5936	100.0000	-1.804051	0.0	0.0	0.0	0.0	-2.279051	8880	4466	-2.279051	-2.279051	-2.279051	
C100_1	2	0	1	12	110.800	249.000	1.500	1.500	Bottom	18.0	0.5727	-0.382056	37.5	1.0407	-1.332056	39.7	0.5937	100.0000	-1.807056	0.0	0.0	0.0	0.0	-2.282056	8880	4466	-2.282056	-2.282056	-2.282056	
C100_1	2	0	1	13	110.800	249.000	1.500	1.500	Bottom	17.9	0.5812	-0.381037	37.6	1.0407	-1.331037	39.4	0.5937	100.0000	-1.806037	0.0	0.0	0.0	0.0	-2.281037	8880	4466	-2.281037	-2.281037	-2.281037	
C100_1	2	0	1	14	110.800	249.000	1.500	1.500	Bottom	17.8	0.5462	-0.384301	37.6	1.0407	-1.334301	39.5	0.5937	100.0000	-1.809301	0.0	0.0	0.0	0.0	-2.284301	8881	4466	-2.284301	-2.284301	-2.284301	
C100_1	2	0	1	15	110.800	249.000	1.500	1.500	Bottom	17.8	0.5486	-0.383516	37.7	1.0407	-1.333516	39.7	0.5937	100.0000	-1.808516	0.0	0.0	0.0	0.0	-2.283516	8880	4466	-2.283516	-2.283516	-2.283516	
C100_1	2	0	1	16	110.800	249.000	1.500	1.500	Bottom	17.9	0.5651	-0.384672	37.3	1.0407	-1.334672	39.6	0.5937	100.0000	-1.809672	0.0	0.0	0.0	0.0	-2.284672	8880	4466	-2.284672	-2.284672	-2.284672	
